taxon,commonname
Abudefduf abdominalis,Green damselfish
Acanthurus achilles,Achilles tang
Acanthurus blochii,Ringtail surgeonfish
Acanthurus dussumieri,Eyestripe surgeonfish
Acanthurus guttatus,Whitespotted surgeonfish
Acanthurus leucopareius,Whitebar surgeonfish
Acanthurus nigroris,Bluelined surgeonfish
Acanthurus olivaceus,Orangespot surgeonfish
Acanthurus triostegus,Convict surgeonfish
Acanthurus xanthopterus,Yellowfin surgeonfish
Albula glossodonta,Roundjaw bonefish
Alectis ciliaris,African pompano
Aluterus scriptus,Scrawled filefish
Anampses cuvier,Pearl wrasse
Aphareus furca,Small toothed jobfish
Aprion virescens,Green jobfish
Bodianus albotaeniatus,Hawaiian Hogfish
Calotomus carolinus,Carolines parrotfish
Calotomus zonarchus,Yellowbar parrot
Carangoides ferdau,Blue trevally
Carangoides orthogrammus,Island trevally
Caranx ignobilis,Giant trevally
Caranx lugubris,Black jack
Caranx melampygus,Bluefin trevally
Caranx sexfasciatus,Bigeye trevally
Cephalopholis argus,Peacock hind
Chanos chanos,Milkfish
Chlorurus perspicillatus,Spectacled parrotfish
Chlorurus spilurus,Daisy parrotfish
Coris flavovittata,Yellowstripe coris
Ctenochaetus hawaiiensis,Chevron tang
Ctenochaetus strigosus,Spotted surgeonfish
Decapterus macarellus,Mackerel scad
Elagatis bipinnulata,Rainbow runner
Euthynnus affinis,Kawakawa
Fistularia commersonii,Bluespotted cornetfish
Gnathanodon speciosus,Golden trevally
Hyporthodus quernus,Hawaiian grouper
Iniistius aneitensis,Yellowblotch razorfish
Iniistius pavo,Peacock wrasse
Iniistius umbrilatus,Razor wrasse fish
Katsuwonus pelamis,Skipjack tuna
Kuhlia sandvicensis,Hawaiian flagtail
Kyphosus cinerascens,Blue seachub
Kyphosus hawaiiensis,Hawaiian chub
Kyphosus sandwicensis,Pacific chub
Kyphosus vaigiensis,Brassy chub
Lutjanus fulvus,Blacktail snapper
Lutjanus gibbus,Humpback red snapper
Lutjanus kasmira,Common bluestripe snapper
Microcanthus strigatus,Stripey
Monotaxis grandoculis,Humpnose big-eye bream
Mugil cephalus,Flathead mullet
Mulloidichthys flavolineatus,Yellowstripe goatfish
Mulloidichthys mimicus,Mimic goatfish
Mulloidichthys pfluegeri,Orange goatfish
Mulloidichthys vanicolensis,Yellowfin goatfish
Myripristis amaena,Brick soldierfish
Myripristis berndti,Blotcheye soldierfish
Myripristis chryseres,Yellowfin soldierfish
Myripristis kuntee,Shoulderbar soldierfish
Myripristis vittata,Whitetip soldierfish
Naso annulatus,Whitemargin unicornfish
Naso brevirostris,Spotted unicornfish
Naso caesius,Gray unicornfish
Naso hexacanthus,Sleek unicornfish
Naso lituratus,Orangespine unicornfish
Naso maculatus,Spotted unicornfish
Naso unicornis,Bluespine unicornfish
Neoniphon aurolineatus,Yellowstriped squirrelfish
Neoniphon sammara,Sammara squirrelfish
Oplegnathus punctatus,Spotted knifejaw
Oxycheilinus unifasciatus,Ringtail maori wrasse
Parupeneus chrysonemus,Yellowbarbel goatfish
Parupeneus cyclostomus,Goldsaddle goatfish
Parupeneus insularis,Twosaddle goatfish
Parupeneus multifasciatus,Manybar goatfish
Parupeneus pleurostigma,Sidespot goatfish
Parupeneus porphyreus,Whitesaddle goatfish
Polydactylus sexfilis,Sixfinger threadfin
Priacanthus meeki,Hawaiian bigeye
Pristilepis oligolepis,Spinyface soldier
Pseudocaranx dentex,White trevally
Sarda orientalis,Striped bonito
Sargocentron diadema,Crown squirrelfish
Sargocentron ensifer,Yellow-stripedsquirrelfish
Sargocentron punctatissimum,Speckled squirrelfish
Sargocentron spiniferum,Sabre squirrelfish
Sargocentron tiere,Blue lined squirrelfish
Sargocentron xantherythrum,Hawaiian squirrelfish
Scarus dubius,Regal parrot
Scarus psittacus,Common parrotfish
Scarus rubroviolaceus,Ember parrotfish
Scomberoides lysan,Doublespotted queenfish
Selar crumenophthalmus,Bigeye scad
Seriola dumerili,Greater amberjack
Sphyraena barracuda,Great barracuda
Sphyraena helleri,Heller's barracuda
Thalassoma ballieui,Blacktail wrasse
Thalassoma purpureum,Surge wrasse
Tylosurus crocodilus,Houndneedlefish
Upeneus taeniopterus,Finstripe goatfish
Zebrasoma veliferum,Sailfin tang
